id,text,option_a,option_b,option_c,option_d,correct,source,topic,type
174,"A question asks about lighting. Using the ASME A17.1 table of contents, what is the best first move?","lighting section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,General requirements for lighting,C,ASME A17.1,table of contents navigation,toc_navigation
175,"If you had to find rules for pit ladders in ASME A17.1, where should you begin?",Machine rooms and spaces,General requirements for pit ladders,"pit ladders section for hoistways, pits, and related construction",Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
176,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for car operating panels?,Maintenance control program,Machine rooms and spaces,"car operating panels section for hoistways, pits, and related construction",General requirements for car operating panels,B,ASME A17.1,table of contents navigation,toc_navigation
177,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for accessibility dimensions?","accessibility dimensions section for hoistways, pits, and related construction",General requirements for accessibility dimensions,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
178,"A question asks about shunt trip. Using the ASME A17.1 table of contents, what is the best first move?",shunt trip section for car and counterweight safeties,General requirements for shunt trip,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
179,"If you had to find rules for machine rooms in ASME A17.1, where should you begin?","machine rooms section for hoistways, pits, and related construction",Machine rooms and spaces,General requirements for machine rooms,Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
180,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for control spaces?,Machine rooms and spaces,Maintenance control program,control spaces section for car and counterweight safeties,General requirements for control spaces,A,ASME A17.1,table of contents navigation,toc_navigation
181,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for pits?",Machine rooms and spaces,"pits section for hoistways, pits, and related construction",General requirements for pits,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
182,"A question asks about car enclosures. Using the ASME A17.1 table of contents, what is the best first move?",Maintenance control program,Machine rooms and spaces,car enclosures section for car and counterweight safeties,General requirements for car enclosures,B,ASME A17.1,table of contents navigation,toc_navigation
183,"If you had to find rules for fire service in ASME A17.1, where should you begin?",Maintenance control program,General requirements for fire service,fire service section for car and counterweight safeties,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
184,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for electrical disconnects?,Maintenance control program,"electrical disconnects section for hoistways, pits, and related construction",General requirements for electrical disconnects,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
185,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for working clearances?","working clearances section for hoistways, pits, and related construction",General requirements for working clearances,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
186,"A question asks about refuge spaces. Using the ASME A17.1 table of contents, what is the best first move?",refuge spaces section for car and counterweight safeties,General requirements for refuge spaces,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
187,"If you had to find rules for handrails in ASME A17.1, where should you begin?",Machine rooms and spaces,General requirements for handrails,Maintenance control program,"handrails section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
188,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for step demarcation?,General requirements for step demarcation,Machine rooms and spaces,Maintenance control program,"step demarcation section for hoistways, pits, and related construction",B,ASME A17.1,table of contents navigation,toc_navigation
189,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for platform lift landings?",Machine rooms and spaces,Maintenance control program,General requirements for platform lift landings,"platform lift landings section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
190,"A question asks about door locking devices. Using the ASME A17.1 table of contents, what is the best first move?",Maintenance control program,"door locking devices section for hoistways, pits, and related construction",Machine rooms and spaces,General requirements for door locking devices,C,ASME A17.1,table of contents navigation,toc_navigation
191,"If you had to find rules for safeties in ASME A17.1, where should you begin?",Machine rooms and spaces,Maintenance control program,General requirements for safeties,"safeties section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
192,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for signage?,Machine rooms and spaces,Maintenance control program,"signage section for hoistways, pits, and related construction",General requirements for signage,A,ASME A17.1,table of contents navigation,toc_navigation
193,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for maintenance records?",General requirements for maintenance records,Machine rooms and spaces,"maintenance records section for hoistways, pits, and related construction",Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
194,"A question asks about tests. Using the ASME A17.1 table of contents, what is the best first move?",tests section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,General requirements for tests,B,ASME A17.1,table of contents navigation,toc_navigation
195,"If you had to find rules for alterations in ASME A17.1, where should you begin?",General requirements for alterations,Maintenance control program,Machine rooms and spaces,alterations section for car and counterweight safeties,C,ASME A17.1,table of contents navigation,toc_navigation
196,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for temporary personnel hoists?,Maintenance control program,"temporary personnel hoists section for hoistways, pits, and related construction",General requirements for temporary personnel hoists,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
197,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for construction barricades?",Machine rooms and spaces,Maintenance control program,"construction barricades section for hoistways, pits, and related construction",General requirements for construction barricades,A,ASME A17.1,table of contents navigation,toc_navigation
198,"A question asks about wiring methods. Using the ASME A17.1 table of contents, what is the best first move?",Maintenance control program,General requirements for wiring methods,Machine rooms and spaces,wiring methods section for car and counterweight safeties,C,ASME A17.1,table of contents navigation,toc_navigation
199,"If you had to find rules for machine-room ventilation in ASME A17.1, where should you begin?",Machine rooms and spaces,General requirements for machine-room ventilation,Maintenance control program,"machine-room ventilation section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
200,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for access doors?,access doors section for car and counterweight safeties,Maintenance control program,Machine rooms and spaces,General requirements for access doors,C,ASME A17.1,table of contents navigation,toc_navigation
201,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for clear floor space?",Maintenance control program,General requirements for clear floor space,Machine rooms and spaces,"clear floor space section for hoistways, pits, and related construction",C,ASME A17.1,table of contents navigation,toc_navigation
202,"A question asks about hall stations. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,hall stations section for car and counterweight safeties,General requirements for hall stations,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
203,"If you had to find rules for elevator lobby protection in ASME A17.1, where should you begin?",Machine rooms and spaces,General requirements for elevator lobby protection,Maintenance control program,"elevator lobby protection section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
204,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for overcurrent protection?,Maintenance control program,Machine rooms and spaces,overcurrent protection section for car and counterweight safeties,General requirements for overcurrent protection,B,ASME A17.1,table of contents navigation,toc_navigation
205,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for machinery spaces?",Machine rooms and spaces,General requirements for machinery spaces,Maintenance control program,"machinery spaces section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
206,"A question asks about hoistways. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for hoistways,Maintenance control program,Machine rooms and spaces,"hoistways section for hoistways, pits, and related construction",C,ASME A17.1,table of contents navigation,toc_navigation
207,"If you had to find rules for buffers in ASME A17.1, where should you begin?","buffers section for hoistways, pits, and related construction",Machine rooms and spaces,Maintenance control program,General requirements for buffers,B,ASME A17.1,table of contents navigation,toc_navigation
208,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for door reopening devices?,Maintenance control program,Machine rooms and spaces,"door reopening devices section for hoistways, pits, and related construction",General requirements for door reopening devices,B,ASME A17.1,table of contents navigation,toc_navigation
209,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for standby power?",Machine rooms and spaces,Maintenance control program,General requirements for standby power,standby power section for car and counterweight safeties,A,ASME A17.1,table of contents navigation,toc_navigation
210,"A question asks about controller access. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for controller access,Machine rooms and spaces,Maintenance control program,"controller access section for hoistways, pits, and related construction",B,ASME A17.1,table of contents navigation,toc_navigation
211,"If you had to find rules for top-of-car clearances in ASME A17.1, where should you begin?",Maintenance control program,top-of-car clearances section for car and counterweight safeties,General requirements for top-of-car clearances,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
212,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for escalator skirt panels?,Maintenance control program,Machine rooms and spaces,"escalator skirt panels section for hoistways, pits, and related construction",General requirements for escalator skirt panels,B,ASME A17.1,table of contents navigation,toc_navigation
213,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for combplates?",Maintenance control program,General requirements for combplates,combplates section for car and counterweight safeties,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
214,"A question asks about moving walks. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for moving walks,moving walks section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
215,"If you had to find rules for wheelchair turning space in ASME A17.1, where should you begin?",General requirements for wheelchair turning space,Maintenance control program,Machine rooms and spaces,wheelchair turning space section for car and counterweight safeties,C,ASME A17.1,table of contents navigation,toc_navigation
216,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for governors?,General requirements for governors,governors section for car and counterweight safeties,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
217,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for counterweights?",Machine rooms and spaces,General requirements for counterweights,Maintenance control program,"counterweights section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
218,"A question asks about emergency operations. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,emergency operations section for car and counterweight safeties,Maintenance control program,General requirements for emergency operations,A,ASME A17.1,table of contents navigation,toc_navigation
219,"If you had to find rules for inspections in ASME A17.1, where should you begin?",General requirements for inspections,Machine rooms and spaces,inspections section for car and counterweight safeties,Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
220,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for acceptance inspections?,acceptance inspections section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,General requirements for acceptance inspections,B,ASME A17.1,table of contents navigation,toc_navigation
221,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for existing installations?",Maintenance control program,General requirements for existing installations,Machine rooms and spaces,"existing installations section for hoistways, pits, and related construction",C,ASME A17.1,table of contents navigation,toc_navigation
222,"A question asks about conveyor guarding. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for conveyor guarding,Machine rooms and spaces,Maintenance control program,"conveyor guarding section for hoistways, pits, and related construction",B,ASME A17.1,table of contents navigation,toc_navigation
223,"If you had to find rules for demolition protection in ASME A17.1, where should you begin?",demolition protection section for car and counterweight safeties,General requirements for demolition protection,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
224,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for grounding?,Maintenance control program,General requirements for grounding,Machine rooms and spaces,"grounding section for hoistways, pits, and related construction",C,ASME A17.1,table of contents navigation,toc_navigation
225,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for lighting?",General requirements for lighting,"lighting section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
226,"A question asks about pit ladders. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for pit ladders,pit ladders section for car and counterweight safeties,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
227,"If you had to find rules for car operating panels in ASME A17.1, where should you begin?",Maintenance control program,car operating panels section for car and counterweight safeties,General requirements for car operating panels,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
228,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for accessibility dimensions?,"accessibility dimensions section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,General requirements for accessibility dimensions,C,ASME A17.1,table of contents navigation,toc_navigation
229,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for shunt trip?",General requirements for shunt trip,Maintenance control program,"shunt trip section for hoistways, pits, and related construction",Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
230,"A question asks about machine rooms. Using the ASME A17.1 table of contents, what is the best first move?",Maintenance control program,"machine rooms section for hoistways, pits, and related construction",General requirements for machine rooms,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
231,"If you had to find rules for control spaces in ASME A17.1, where should you begin?",Maintenance control program,"control spaces section for hoistways, pits, and related construction",Machine rooms and spaces,General requirements for control spaces,C,ASME A17.1,table of contents navigation,toc_navigation
232,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for pits?,Maintenance control program,Machine rooms and spaces,"pits section for hoistways, pits, and related construction",General requirements for pits,B,ASME A17.1,table of contents navigation,toc_navigation
233,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for car enclosures?",Machine rooms and spaces,General requirements for car enclosures,car enclosures section for car and counterweight safeties,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
234,"A question asks about fire service. Using the ASME A17.1 table of contents, what is the best first move?","fire service section for hoistways, pits, and related construction",General requirements for fire service,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
235,"If you had to find rules for electrical disconnects in ASME A17.1, where should you begin?",Maintenance control program,Machine rooms and spaces,General requirements for electrical disconnects,electrical disconnects section for car and counterweight safeties,B,ASME A17.1,table of contents navigation,toc_navigation
236,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for working clearances?,Maintenance control program,"working clearances section for hoistways, pits, and related construction",Machine rooms and spaces,General requirements for working clearances,C,ASME A17.1,table of contents navigation,toc_navigation
237,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for refuge spaces?",General requirements for refuge spaces,Maintenance control program,refuge spaces section for car and counterweight safeties,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
238,"A question asks about handrails. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,Maintenance control program,General requirements for handrails,handrails section for car and counterweight safeties,A,ASME A17.1,table of contents navigation,toc_navigation
239,"If you had to find rules for step demarcation in ASME A17.1, where should you begin?",Machine rooms and spaces,General requirements for step demarcation,step demarcation section for car and counterweight safeties,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
240,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for platform lift landings?,platform lift landings section for car and counterweight safeties,General requirements for platform lift landings,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
241,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for door locking devices?",Maintenance control program,General requirements for door locking devices,Machine rooms and spaces,"door locking devices section for hoistways, pits, and related construction",C,ASME A17.1,table of contents navigation,toc_navigation
242,"A question asks about safeties. Using the ASME A17.1 table of contents, what is the best first move?",Maintenance control program,Machine rooms and spaces,safeties section for car and counterweight safeties,General requirements for safeties,B,ASME A17.1,table of contents navigation,toc_navigation
243,"If you had to find rules for signage in ASME A17.1, where should you begin?",General requirements for signage,Machine rooms and spaces,"signage section for hoistways, pits, and related construction",Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
244,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for maintenance records?,maintenance records section for car and counterweight safeties,Maintenance control program,Machine rooms and spaces,General requirements for maintenance records,C,ASME A17.1,table of contents navigation,toc_navigation
245,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for tests?",Maintenance control program,General requirements for tests,tests section for car and counterweight safeties,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
246,"A question asks about alterations. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,"alterations section for hoistways, pits, and related construction",Maintenance control program,General requirements for alterations,A,ASME A17.1,table of contents navigation,toc_navigation
247,"If you had to find rules for temporary personnel hoists in ASME A17.1, where should you begin?",Maintenance control program,General requirements for temporary personnel hoists,Machine rooms and spaces,temporary personnel hoists section for car and counterweight safeties,C,ASME A17.1,table of contents navigation,toc_navigation
248,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for construction barricades?,Machine rooms and spaces,Maintenance control program,construction barricades section for car and counterweight safeties,General requirements for construction barricades,A,ASME A17.1,table of contents navigation,toc_navigation
249,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for wiring methods?",Machine rooms and spaces,"wiring methods section for hoistways, pits, and related construction",Maintenance control program,General requirements for wiring methods,A,ASME A17.1,table of contents navigation,toc_navigation
250,"A question asks about machine-room ventilation. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for machine-room ventilation,Maintenance control program,"machine-room ventilation section for hoistways, pits, and related construction",Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
251,"If you had to find rules for access doors in ASME A17.1, where should you begin?",Maintenance control program,"access doors section for hoistways, pits, and related construction",Machine rooms and spaces,General requirements for access doors,C,ASME A17.1,table of contents navigation,toc_navigation
252,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for clear floor space?,Machine rooms and spaces,clear floor space section for car and counterweight safeties,General requirements for clear floor space,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
253,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for hall stations?",Machine rooms and spaces,hall stations section for car and counterweight safeties,Maintenance control program,General requirements for hall stations,A,ASME A17.1,table of contents navigation,toc_navigation
254,"A question asks about elevator lobby protection. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,General requirements for elevator lobby protection,elevator lobby protection section for car and counterweight safeties,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
255,"If you had to find rules for overcurrent protection in ASME A17.1, where should you begin?","overcurrent protection section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,General requirements for overcurrent protection,C,ASME A17.1,table of contents navigation,toc_navigation
256,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for machinery spaces?,Maintenance control program,General requirements for machinery spaces,Machine rooms and spaces,"machinery spaces section for hoistways, pits, and related construction",C,ASME A17.1,table of contents navigation,toc_navigation
257,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for hoistways?",Maintenance control program,hoistways section for car and counterweight safeties,General requirements for hoistways,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
258,"A question asks about buffers. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,General requirements for buffers,buffers section for car and counterweight safeties,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
259,"If you had to find rules for door reopening devices in ASME A17.1, where should you begin?",Machine rooms and spaces,door reopening devices section for car and counterweight safeties,General requirements for door reopening devices,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
260,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for standby power?,standby power section for car and counterweight safeties,Maintenance control program,General requirements for standby power,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
261,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for controller access?",controller access section for car and counterweight safeties,Machine rooms and spaces,General requirements for controller access,Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
262,"A question asks about top-of-car clearances. Using the ASME A17.1 table of contents, what is the best first move?",top-of-car clearances section for car and counterweight safeties,Maintenance control program,Machine rooms and spaces,General requirements for top-of-car clearances,C,ASME A17.1,table of contents navigation,toc_navigation
263,"If you had to find rules for escalator skirt panels in ASME A17.1, where should you begin?",Maintenance control program,Machine rooms and spaces,"escalator skirt panels section for hoistways, pits, and related construction",General requirements for escalator skirt panels,B,ASME A17.1,table of contents navigation,toc_navigation
264,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for combplates?,Machine rooms and spaces,combplates section for car and counterweight safeties,Maintenance control program,General requirements for combplates,A,ASME A17.1,table of contents navigation,toc_navigation
265,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for moving walks?",Machine rooms and spaces,Maintenance control program,"moving walks section for hoistways, pits, and related construction",General requirements for moving walks,A,ASME A17.1,table of contents navigation,toc_navigation
266,"A question asks about wheelchair turning space. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,wheelchair turning space section for car and counterweight safeties,General requirements for wheelchair turning space,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
267,"If you had to find rules for governors in ASME A17.1, where should you begin?",governors section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,General requirements for governors,B,ASME A17.1,table of contents navigation,toc_navigation
268,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for counterweights?,Maintenance control program,General requirements for counterweights,Machine rooms and spaces,"counterweights section for hoistways, pits, and related construction",C,ASME A17.1,table of contents navigation,toc_navigation
269,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for emergency operations?",Maintenance control program,emergency operations section for car and counterweight safeties,General requirements for emergency operations,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
270,"A question asks about inspections. Using the ASME A17.1 table of contents, what is the best first move?","inspections section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,General requirements for inspections,C,ASME A17.1,table of contents navigation,toc_navigation
271,"If you had to find rules for acceptance inspections in ASME A17.1, where should you begin?",Machine rooms and spaces,"acceptance inspections section for hoistways, pits, and related construction",Maintenance control program,General requirements for acceptance inspections,A,ASME A17.1,table of contents navigation,toc_navigation
272,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for existing installations?,"existing installations section for hoistways, pits, and related construction",Maintenance control program,General requirements for existing installations,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
273,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for conveyor guarding?",conveyor guarding section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,General requirements for conveyor guarding,B,ASME A17.1,table of contents navigation,toc_navigation
274,"A question asks about demolition protection. Using the ASME A17.1 table of contents, what is the best first move?",demolition protection section for car and counterweight safeties,Machine rooms and spaces,General requirements for demolition protection,Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
275,"If you had to find rules for grounding in ASME A17.1, where should you begin?",General requirements for grounding,Maintenance control program,Machine rooms and spaces,grounding section for car and counterweight safeties,C,ASME A17.1,table of contents navigation,toc_navigation
276,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for lighting?,"lighting section for hoistways, pits, and related construction",Machine rooms and spaces,General requirements for lighting,Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
277,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for pit ladders?",Machine rooms and spaces,General requirements for pit ladders,"pit ladders section for hoistways, pits, and related construction",Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
278,"A question asks about car operating panels. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,General requirements for car operating panels,"car operating panels section for hoistways, pits, and related construction",Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
279,"If you had to find rules for accessibility dimensions in ASME A17.1, where should you begin?",Maintenance control program,General requirements for accessibility dimensions,Machine rooms and spaces,"accessibility dimensions section for hoistways, pits, and related construction",C,ASME A17.1,table of contents navigation,toc_navigation
280,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for shunt trip?,Machine rooms and spaces,General requirements for shunt trip,Maintenance control program,"shunt trip section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
281,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for machine rooms?",Maintenance control program,Machine rooms and spaces,General requirements for machine rooms,machine rooms section for car and counterweight safeties,B,ASME A17.1,table of contents navigation,toc_navigation
282,"A question asks about control spaces. Using the ASME A17.1 table of contents, what is the best first move?",control spaces section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,General requirements for control spaces,B,ASME A17.1,table of contents navigation,toc_navigation
283,"If you had to find rules for pits in ASME A17.1, where should you begin?",Maintenance control program,"pits section for hoistways, pits, and related construction",General requirements for pits,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
284,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for car enclosures?,Maintenance control program,General requirements for car enclosures,"car enclosures section for hoistways, pits, and related construction",Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
285,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for fire service?","fire service section for hoistways, pits, and related construction",Machine rooms and spaces,Maintenance control program,General requirements for fire service,B,ASME A17.1,table of contents navigation,toc_navigation
286,"A question asks about electrical disconnects. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,Maintenance control program,General requirements for electrical disconnects,electrical disconnects section for car and counterweight safeties,A,ASME A17.1,table of contents navigation,toc_navigation
287,"If you had to find rules for working clearances in ASME A17.1, where should you begin?",Machine rooms and spaces,"working clearances section for hoistways, pits, and related construction",General requirements for working clearances,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
288,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for refuge spaces?,"refuge spaces section for hoistways, pits, and related construction",Maintenance control program,General requirements for refuge spaces,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
289,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for handrails?",Maintenance control program,General requirements for handrails,handrails section for car and counterweight safeties,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
290,"A question asks about step demarcation. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for step demarcation,Machine rooms and spaces,Maintenance control program,step demarcation section for car and counterweight safeties,B,ASME A17.1,table of contents navigation,toc_navigation
291,"If you had to find rules for platform lift landings in ASME A17.1, where should you begin?",Machine rooms and spaces,"platform lift landings section for hoistways, pits, and related construction",General requirements for platform lift landings,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
292,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for door locking devices?,"door locking devices section for hoistways, pits, and related construction",Maintenance control program,General requirements for door locking devices,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
293,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for safeties?","safeties section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,General requirements for safeties,C,ASME A17.1,table of contents navigation,toc_navigation
294,"A question asks about signage. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for signage,Machine rooms and spaces,"signage section for hoistways, pits, and related construction",Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
295,"If you had to find rules for maintenance records in ASME A17.1, where should you begin?",Machine rooms and spaces,maintenance records section for car and counterweight safeties,Maintenance control program,General requirements for maintenance records,A,ASME A17.1,table of contents navigation,toc_navigation
296,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for tests?,Machine rooms and spaces,General requirements for tests,Maintenance control program,tests section for car and counterweight safeties,A,ASME A17.1,table of contents navigation,toc_navigation
297,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for alterations?",alterations section for car and counterweight safeties,General requirements for alterations,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
298,"A question asks about temporary personnel hoists. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,"temporary personnel hoists section for hoistways, pits, and related construction",General requirements for temporary personnel hoists,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
299,"If you had to find rules for construction barricades in ASME A17.1, where should you begin?",Maintenance control program,General requirements for construction barricades,Machine rooms and spaces,construction barricades section for car and counterweight safeties,C,ASME A17.1,table of contents navigation,toc_navigation
